TPV | 20230415 172326 | ERROR: This is a debug test
TPV | 20230415 172326 | WARNING: This is a info test
TPV | 20230415 172326 | INFO: This is a warning test
TPV | 20230415 172326 | DEBUG: This is a error test
TPV | 20230415 173756 | INFO: Set attr if forbidden in database
TPV | 20230415 173756 | ERROR: DataBase works, both variables contain the same instance.
TPV | 20230415 173810 | INFO: Set attr if forbidden in database
TPV | 20230415 173810 | ERROR: DataBase works, both variables contain the same instance.
TPV | 20230415 173838 | DEBUG: This is a debug test
TPV | 20230415 173838 | INFO: This is a info test
TPV | 20230415 173838 | WARNING: This is a warning test
TPV | 20230415 173838 | ERROR: This is a error test
TPV | 20230415 173850 | WARNING: Set attr if forbidden in database
TPV | 20230415 173850 | DEBUG: DataBase works, both variables contain the same instance.
TPV | 20230415 173906 | WARNING: Set attr if forbidden in database
TPV | 20230415 173906 | INFO: DataBase works, both variables contain the same instance.
TPV | 20230415 175032 | WARNING: Set attr if forbidden in database
TPV | 20230415 175059 | WARNING: Set attr if forbidden in database
TPV | 20230415 175141 | WARNING: Set attr if forbidden in database
TPV | 20230415 175435 | WARNING: Set attr if forbidden in database
TPV | 20230415 175444 | INFO: DataBase works, both variables contain the same instance.
TPV | 20230415 175507 | WARNING: Set attr if forbidden in database
TPV | 20230415 175507 | DEBUG: {0: {'name': 'Cocacola', 'short_name': 'cocacola', 'price': 1.5}, 1: {'name': 'Fanta', 'short_name': 'agua', 'price': 1.5}, 2: {'name': 'Agua', 'short_name': 'agua', 'price': 2.0}}
TPV | 20230415 175507 | INFO: DataBase works, both variables contain the same instance.
TPV | 20230415 175732 | WARNING: Set attr if forbidden in database
TPV | 20230415 175732 | DEBUG: {0: {'name': 'Cocacola', 'short_name': 'cocacola', 'price': 1.5}, 1: {'name': 'Fanta', 'short_name': 'agua', 'price': 1.5}, 2: {'name': 'Agua', 'short_name': 'agua', 'price': 2.0}}
TPV | 20230415 175732 | INFO: DataBase works, both variables contain the same instance.
TPV | 20230415 175800 | WARNING: Set attr if forbidden in database
TPV | 20230415 175800 | DEBUG: {0: {'name': 'Cocacola', 'short_name': 'cocacola', 'price': 1.5}, 1: {'name': 'Fanta', 'short_name': 'agua', 'price': 1.5}, 2: {'name': 'Agua', 'short_name': 'agua', 'price': 2.0}}
TPV | 20230415 175800 | INFO: DataBase works, both variables contain the same instance.
